price,postal_code,rooms,area,state,has_open_fire,property_type,property_subtype,facades_number,is_furnished,has_terrace,has_garden,has_swimming_pool,has_equipped_kitchen,is_luxurious
439000,2060,2,224,5,-1,2,8,-1,-1,-1,-1,2,4,0
475000,2660,4,187,4,-1,1,11,-1,-1,1,1,2,4,0
349000,2100,3,125,4,-1,1,11,2,0,1,1,2,4,0
229000,2140,2,139,5,-1,1,11,-1,0,1,0,2,4,0
324900,2100,5,168,4,-1,1,11,-1,0,0,1,2,4,0
385000,2100,3,287,4,-1,1,11,-1,0,1,1,2,4,0
225000,2140,3,100,5,-1,1,11,-1,0,0,0,1,4,0
319000,2180,4,216,5,-1,1,11,-1,0,1,1,2,4,0
475000,2600,3,130,4,-1,1,11,-1,0,1,0,2,4,0
275000,2060,4,169,5,-1,1,11,-1,0,1,0,2,4,0
369500,2600,3,133,4,-1,1,11,-1,-1,-1,-1,2,4,0
439000,2170,3,194,5,-1,1,11,3,0,1,1,2,4,0
529000,2180,5,182,4,-1,1,11,-1,0,1,1,2,4,0
425000,2660,3,162,3,-1,1,11,-1,0,1,1,2,4,0
449000,2050,3,128,4,-1,1,11,-1,-1,1,1,2,4,0
319000,2140,2,109,5,-1,1,11,2,0,0,1,2,4,0
215000,2660,2,90,5,-1,1,11,2,0,1,1,2,4,0
315000,2020,3,147,0,-1,1,11,2,0,1,0,2,4,0
650000,2610,4,223,1,-1,2,8,2,-1,1,1,2,4,0
349000,2610,2,110,4,-1,1,11,-1,-1,0,1,2,4,0
259000,2170,2,130,5,-1,1,11,2,0,1,1,2,4,0
399000,2060,3,152,4,-1,1,11,2,0,1,0,2,4,0
179000,2660,2,81,5,-1,1,11,2,-1,1,1,2,4,0
419000,2180,5,189,4,-1,1,11,-1,0,1,1,2,4,0
379000,2660,5,180,3,-1,1,11,2,-1,0,1,2,4,0
387000,2170,3,180,4,-1,1,11,3,0,0,1,2,4,0
319000,2170,2,97,4,-1,1,11,2,0,0,1,2,4,0
359000,2180,4,173,5,-1,1,11,3,0,1,1,2,4,0
340000,2170,3,143,4,-1,1,11,2,0,0,1,2,4,0
1495000,2000,4,242,0,-1,2,8,2,-1,-1,1,0,3,1
229000,2170,2,105,5,-1,1,11,2,0,0,1,2,4,0
579000,2060,7,280,4,-1,1,11,2,0,1,1,2,4,1
749000,2060,4,288,3,-1,2,8,-1,-1,1,0,2,4,1
585000,2180,5,258,2,-1,1,11,3,0,1,1,2,4,1
299000,2660,3,176,4,-1,1,11,-1,0,0,1,2,4,0
379000,2610,2,110,4,-1,1,11,2,0,0,1,2,4,0
385000,2140,3,95,4,-1,1,11,-1,0,0,1,2,4,0
399000,2660,3,178,4,-1,1,11,2,0,0,1,2,4,0
189000,2100,3,99,4,-1,1,11,-1,-1,-1,-1,2,4,0
229000,2100,2,107,5,-1,1,11,2,0,0,0,2,4,0
469000,2600,3,147,0,-1,1,11,-1,0,0,1,2,4,0
375000,2060,4,145,4,-1,1,11,-1,0,0,0,2,4,0
319000,2040,2,126,4,-1,1,11,-1,-1,-1,-1,2,4,0
329000,2000,3,171,5,-1,1,11,-1,0,0,0,2,4,0
349000,2660,2,143,4,-1,1,11,2,0,1,1,2,4,0
212000,2020,2,95,4,-1,1,11,2,0,0,0,2,4,0
345000,2018,2,113,3,-1,1,11,2,-1,1,0,2,4,0
349000,2140,4,163,4,-1,1,11,2,0,0,0,2,4,0
279000,2170,3,168,3,-1,1,11,-1,-1,0,0,2,4,0
279000,2170,1,161,5,-1,1,11,-1,-1,0,1,2,4,0
428000,2170,2,202,4,-1,1,11,-1,-1,0,1,2,4,0
419000,2100,3,193,0,-1,1,11,2,0,1,1,2,4,0
329000,2100,2,167,4,-1,1,11,2,0,1,0,2,4,0
365000,2610,3,123,4,-1,1,11,2,0,0,1,2,4,0
239000,2140,4,148,5,-1,1,11,2,0,0,0,2,4,0
539000,2018,5,292,4,-1,1,11,-1,0,0,0,2,4,1
315000,2060,2,103,3,-1,1,11,2,-1,1,0,2,4,0
548000,9041,3,115,3,-1,1,11,3,0,1,1,2,0,0
399000,9032,3,144,1,-1,1,11,-1,-1,0,0,2,4,0
449000,9032,4,120,4,-1,1,11,2,0,0,0,2,4,0
466000,9041,3,115,3,-1,1,11,2,0,1,1,2,0,0
469000,9040,4,201,4,-1,1,11,2,-1,1,1,2,0,0
329000,9000,4,97,1,-1,1,11,2,-1,1,0,2,4,0
556000,9050,3,161,2,-1,1,11,2,0,1,1,0,3,0
359000,9000,4,181,3,-1,1,11,3,0,1,0,2,4,0
299000,9000,4,121,7,-1,1,11,2,-1,1,0,2,0,0
659000,9030,4,213,3,-1,1,11,4,0,1,1,2,0,0
289000,9000,4,140,3,-1,1,11,2,-1,0,0,2,4,0
259000,9000,3,101,3,-1,1,11,-1,-1,0,0,2,4,0
269000,9000,3,101,3,-1,1,11,-1,-1,0,0,2,4,0
275000,9000,3,109,7,-1,1,11,-1,-1,-1,1,2,4,0
325000,9000,4,140,4,-1,1,11,-1,-1,-1,1,2,4,0
264000,9000,1,73,4,-1,1,11,-1,-1,1,-1,2,4,0
474000,9040,3,157,2,-1,1,11,2,0,1,1,0,3,0
559000,9040,3,170,2,-1,1,11,3,-1,1,1,0,3,0
269000,9000,3,115,3,-1,1,11,2,-1,0,0,0,4,0
453000,9040,3,133,2,-1,1,11,2,0,1,1,0,3,0
579945,9051,3,180,2,-1,1,11,3,0,-1,1,0,0,0
275000,9000,3,88,3,-1,1,11,2,-1,0,0,2,4,0
330000,9050,4,180,4,-1,1,11,-1,0,1,1,0,4,0
456500,9040,3,185,2,-1,1,11,2,0,1,1,0,0,0
145000,9040,-1,58,4,-1,1,11,2,0,-1,0,2,4,0
299000,9000,2,162,7,-1,2,9,2,0,1,-1,2,0,0
625000,9000,3,178,0,-1,1,11,3,-1,1,1,2,0,0
395000,9000,3,120,3,-1,1,11,2,-1,0,0,0,4,0
325000,9000,2,125,3,-1,1,11,2,-1,1,0,2,4,0
459000,9032,3,161,4,-1,1,11,3,0,1,1,0,3,0
269000,9000,3,121,5,-1,1,11,2,0,-1,1,2,0,0
975000,9000,2,172,3,-1,2,8,2,-1,0,0,2,0,0
836000,9000,3,159,2,-1,1,11,2,0,1,1,0,3,0
975000,9000,7,513,5,-1,1,11,2,0,1,1,0,0,1
598000,9041,3,210,0,-1,1,11,4,-1,1,1,0,0,0
679000,9042,4,540,5,-1,1,11,4,-1,1,1,0,4,1
698000,9041,5,225,1,-1,1,11,4,-1,1,1,2,0,1
460000,9041,3,194,3,-1,1,11,-1,-1,-1,-1,2,4,0
269000,9042,3,145,5,-1,1,11,4,-1,0,1,2,4,0
355000,9000,4,160,0,-1,1,11,2,-1,1,1,2,4,0
285000,9040,3,110,3,-1,1,11,2,-1,1,0,2,4,0
289000,9000,3,81,7,-1,2,9,2,0,1,0,0,2,0
248000,9000,1,73,4,-1,1,11,-1,-1,1,0,2,4,0
459000,9000,2,95,2,-1,1,11,2,-1,1,1,2,4,0
459000,9000,3,123,2,-1,1,11,2,-1,1,1,2,4,0
459000,9000,2,95,2,-1,1,11,2,-1,1,1,2,4,0
499000,9000,3,132,2,-1,1,11,2,-1,1,1,2,4,0
459000,9000,2,98,2,-1,1,11,2,-1,1,1,2,4,0
300000,9040,2,300,5,-1,1,3,-1,-1,1,1,2,4,0
499000,9000,3,131,2,-1,1,11,2,-1,1,1,2,4,0
499000,9000,3,131,2,-1,1,11,2,-1,1,1,2,4,0
229000,9000,3,98,4,-1,1,11,-1,-1,0,0,2,4,0
299000,9032,3,129,4,-1,1,11,2,0,1,1,0,0,0
299000,9000,4,139,7,-1,1,11,2,-1,1,1,0,0,0
399000,9000,4,200,3,-1,1,11,2,-1,1,1,2,4,0
429000,9000,3,105,1,-1,1,11,2,-1,1,1,2,4,0
279000,9000,4,110,3,-1,1,11,2,-1,1,0,2,4,0
1695000,9000,4,394,4,-1,1,11,3,0,1,1,1,2,1
490000,9000,6,185,3,-1,1,11,2,-1,0,1,2,4,0
