price,rooms,area,state,facades_number,is_furnished,has_terrace,has_garden,has_swimming_pool,has_equipped_kitchen,build_year,cellar,garage,kitchen_type,kitchen_surface,bathrooms,low_energy,solar_panels,heating_type,heat_pump,air_conditioning,alarm,garden_surface,terrace_surface,land_surface,sewer_connection,running_water,rain_water_tank,primary_energy_consumption,co2,certification_electrical_installation,planning_permission_granted,preemption_right,flooding_area_type,surroundings_protected,availability,leased,living_room_surface,attic,glazing_type,elevator,entry_phone,security_door,access_disabled,apartement_floor,number_floors,toilets,frontage_width,terrain_width_roadside,g_score,p_score,cadastral_income,property_subtype,postal_code,property_type
375000,3,131,4,2,1,2,1,0,1,1962,0,0,3,-1,1,0,0,2,0,0,0,-1,2,-1,0,2,0,244,-1,0,0,1,3,0,94,1,-1,0,1,2,0,0,0,8,8,1,15,-1,2,2,1232,0,106,0
235000,3,95,3,0,0,2,1,0,1,1972,0,0,3,-1,1,0,0,3,0,1,1,-1,-1,-1,0,0,0,101,-1,1,0,1,3,1,94,1,-1,0,0,1,0,0,1,5,10,0,-1,-1,2,2,-1,0,110,0
234900,4,92,4,0,1,2,1,0,1,1989,0,0,3,-1,1,0,0,3,0,0,0,-1,3,-1,0,0,0,287,-1,2,0,0,0,0,34,1,32,0,1,1,0,0,0,3,3,1,-1,-1,2,2,855,0,113,0
159000,2,17,3,0,0,2,1,0,1,2019,0,0,3,-1,1,0,0,5,0,0,1,-1,-1,-1,0,0,0,0,-1,1,0,0,3,1,93,1,-1,0,1,1,0,0,1,4,3,1,-1,-1,2,2,-1,0,105,0
219000,3,86,5,2,1,1,1,0,1,1959,0,1,3,-1,1,0,0,3,0,0,0,-1,-1,-1,0,2,0,148,-1,0,0,1,3,0,94,1,32,0,1,2,0,0,0,3,4,1,-1,-1,2,2,-1,0,114,0
175000,2,59,4,0,0,1,1,0,1,-1,2,0,3,-1,1,0,0,3,0,0,0,-1,-1,-1,0,0,0,256,-1,1,2,0,3,1,93,0,-1,1,0,1,2,0,1,3,2,0,-1,-1,0,0,344,0,107,0
189000,3,98,5,0,1,2,1,0,1,1971,0,0,3,-1,1,0,0,3,0,0,0,-1,-1,-1,0,0,0,218,-1,0,0,1,3,0,94,1,39,0,1,1,0,0,0,2,2,1,8,-1,2,2,857,0,113,0
265000,3,88,4,2,1,2,1,0,1,2019,0,1,3,-1,1,0,0,3,0,0,0,-1,6,-1,0,2,0,106,-1,2,0,1,3,0,94,1,-1,0,1,2,0,0,0,2,3,1,25,-1,2,2,-1,0,113,0
169000,2,55,4,2,1,2,1,0,1,-1,0,1,3,-1,1,0,0,3,0,0,0,-1,12,-1,0,2,0,300,-1,2,0,2,3,0,94,1,-1,0,1,1,0,0,0,2,3,1,12,-1,2,2,-1,0,117,0
374000,3,115,3,0,0,2,1,0,1,1975,0,0,3,-1,1,0,0,6,0,1,1,-1,4,-1,0,0,0,163,-1,1,0,1,3,1,93,1,-1,0,0,2,0,0,1,5,0,2,-1,-1,2,2,-1,0,105,0
299000,4,99,4,2,1,2,1,0,1,-1,0,1,3,-1,1,0,2,3,0,0,0,-1,7,-1,0,2,0,184,-1,2,0,2,3,0,91,1,-1,0,1,1,0,0,0,4,3,1,12,-1,2,2,-1,18,117,0
189000,2,41,4,2,2,1,0,1,0,1973,0,0,4,-1,1,0,0,5,0,0,0,-1,-1,-1,2,2,0,130,-1,2,1,1,3,0,93,2,41,0,0,1,2,0,1,2,3,0,-1,-1,2,2,-1,21,105,0
219000,4,89,3,0,0,2,1,0,1,-1,0,0,3,-1,0,0,0,3,0,1,1,-1,5,-1,0,0,0,128,-1,1,0,1,3,1,93,1,-1,0,1,1,0,0,1,2,3,0,-1,-1,2,2,-1,0,107,0
169000,2,55,4,2,1,2,1,0,1,-1,0,1,3,-1,1,0,0,3,0,0,0,-1,8,-1,0,2,0,128,-1,2,0,2,3,0,94,1,-1,0,1,1,0,0,0,3,3,1,12,-1,2,2,-1,0,117,0
185000,2,41,4,2,2,0,0,1,0,1972,0,0,4,-1,1,0,0,5,0,0,0,-1,-1,-1,2,2,0,130,-1,2,1,1,3,0,93,2,41,0,0,1,2,0,1,3,3,0,-1,-1,2,2,-1,21,105,0
139000,2,41,4,2,1,1,1,0,1,-1,0,0,3,-1,1,0,0,3,0,0,0,-1,-1,-1,0,2,0,114,-1,2,0,2,3,0,91,1,-1,0,1,1,0,0,0,3,3,1,7,-1,2,2,-1,0,111,0
169000,2,54,4,2,1,2,1,0,1,-1,0,1,3,-1,1,0,0,3,0,0,0,-1,12,-1,0,2,0,173,-1,2,0,2,3,0,91,1,-1,0,1,1,0,0,0,2,3,1,12,-1,2,2,-1,0,117,0
199000,3,70,4,2,1,1,1,0,1,-1,0,0,3,-1,1,0,0,3,0,0,0,-1,-1,-1,0,2,0,135,-1,2,0,2,3,0,94,1,-1,0,1,1,0,0,0,2,3,1,7,-1,2,2,-1,0,111,0
165000,3,76,5,2,1,2,1,0,1,-1,0,0,3,-1,1,0,0,5,0,0,0,-1,-1,-1,0,0,0,201,-1,0,0,1,3,0,94,1,-1,0,1,2,0,0,0,13,0,1,-1,-1,2,2,-1,0,163,0
189000,4,100,5,2,1,2,0,0,1,1963,0,0,3,-1,1,0,0,3,0,0,0,-1,2,-1,0,2,0,160,-1,0,0,1,3,0,94,1,32,0,1,2,0,0,0,16,17,1,14,-1,2,2,745,0,107,0
249000,3,120,4,2,1,2,1,0,1,1974,0,0,3,-1,1,0,0,2,0,0,0,-1,10,-1,0,0,0,151,-1,2,0,1,3,0,94,1,32,0,1,2,0,0,0,8,13,1,-1,-1,2,2,971,0,114,0
265000,2,67,2,3,1,2,1,1,4,2015,0,0,3,7,1,0,0,3,0,0,0,-1,10,-1,2,2,0,94,-1,2,1,2,3,0,94,1,24,0,0,2,2,0,1,3,2,1,5,5,2,2,745,0,111,0
220000,3,-1,5,2,1,2,1,0,1,-1,0,1,3,-1,1,0,0,2,0,0,0,-1,-1,-1,0,0,0,164,-1,0,0,1,3,0,91,1,-1,0,1,2,0,0,0,2,5,1,-1,-1,2,2,1073,0,158,0
